table,project,sponsors,link
98,Jacc Bags,"Most Creative UX/UI - Viacom, Most Humorous Hack - Bitcamp, Most Aesthetic UI and UX Hack - Bitcamp, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71386-jacc-bags
99,Assistant Chef,"Amazon Web Services - Best Use of AWS, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71387-assistant-chef
100,JoyCon Driver,"Best Cybersecurity Related Hack - OPIS, Biggest Gamechanger - Booz Allen Hamilton, Best Digital Forensics Related Hack - Cipher Tech",http://bitcamp2017.devpost.com/submissions/71388-joycon-driver
101,Productiv+,"Best use of SparkPost , Most Aesthetic UI and UX Hack - Bitcamp, Most Creative Work Collaboration - Leidos, Most Creative UX/UI - Viacom, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71389-productiv
102,MedicalSuite,"Best use of Intel Edison or Arduino 101 for Health - Intel, Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton",http://bitcamp2017.devpost.com/submissions/71390-medicalsuite
103,Autonomous [w]Riting Machine (ARM),"Biggest Gamechanger - Booz Allen Hamilton, Best X for Y - Bitcamp, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71391-autonomous-w-riting-machine-arm
104,ContaiNerd,"Amazon Web Services - Best Use of AWS, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71392-containerd
105,EyeO,"Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71393-eyeo
106,Bitcamp2017Repo,Lockheed Martin Aircraft Arcade ,http://bitcamp2017.devpost.com/submissions/71395-bitcamp2017repo
107,Nessie2.0,"Most Aesthetic UI and UX Hack - Bitcamp, Best Use of Capital One's API, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71396-nessie2-0
108,FinProp,"Most Aesthetic UI and UX Hack - Bitcamp, Most Creative Work Collaboration - Leidos, Biggest Gamechanger - Booz Allen Hamilton, Best Use of React JS - Appian, Smart Document Analytics - FINRA, Most Creative UX/UI - Viacom, Best Moonshot Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71397-finprop
109,Air Defense Game (A Lockheed Martin Challenge),Lockheed Martin Aircraft Arcade ,http://bitcamp2017.devpost.com/submissions/71398-air-defense-game-a-lockheed-martin-challenge
110,Notice D.C,"Best iOS App - MakeSchool, Best Philantrophic Hack | Bloomberg",http://bitcamp2017.devpost.com/submissions/71399-notice-d-c
111,Mues,"Amazon Web Services - Best Use of AWS, Best Domain (.me) Name - Namecheap, Best X for Y - Bitcamp, Best Rookie Hack - Bitcamp",http://bitcamp2017.devpost.com/submissions/71400-mues
112,Congressional,"Best iOS App - MakeSchool, Most Aesthetic UI and UX Hack - Bitcamp, Best Philantrophic Hack | Bloomberg",http://bitcamp2017.devpost.com/submissions/71401-congressional
113,Spread,"Biggest Gamechanger - Booz Allen Hamilton, Best X for Y - Bitcamp",http://bitcamp2017.devpost.com/submissions/71402-spread
114,coloring book,,http://bitcamp2017.devpost.com/submissions/71403-coloring-book
115,IOTooEasy,"Best use of SparkPost , Best Philantrophic Hack | Bloomberg, Biggest Gamechanger - Booz Allen Hamilton, Best Moonshot Hack - Bitcamp, Best Rookie Hack - Bitcamp, Credible Challenge",http://bitcamp2017.devpost.com/submissions/71404-iotooeasy
